Title,IMDb Rating,Year,Certificates,Director,Star Cast,Duration (minutes),Star Cast Lower,Star Cast List,Star Cast List Clean,Genres,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Reality-TV,Romance,Sci-Fi,Sport,Thriller,Western
journey to the center of the earth,0.33928571428571436,0.8425925925925926,PG,eric brevig,Brendan Fraser,0.17343173431734318,brendan fraser,['brendan fraser'],['brendan fraser'],"['Action', 'Adventure', 'Family']",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
night at the museum: secret of the tomb,0.41071428571428586,0.8981481481481481,PG,shawn levy,Ben Stiller,0.1918819188191882,ben stiller,['ben stiller'],['ben stiller'],"['Adventure', 'Comedy', 'Family']",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
nimona,0.642857142857143,0.9814814814814814,PG,nick bruno,Chloë Grace Moretz,0.20295202952029523,chloë grace moretz,['chloë grace moretz'],['chloë grace moretz'],"['Animation', 'Action', 'Adventure']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
finding dory,0.5892857142857144,0.9166666666666666,PG,andrew stanton,"Ellen De, Generes",0.1881918819188192,"ellen de, generes","['ellen de', 'generes']","['ellen de', 'generes']","['Animation', 'Adventure', 'Comedy']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sky high,0.42857142857142866,0.8148148148148148,PG,mike mitchell,Kurt Russell,0.19926199261992622,kurt russell,['kurt russell'],['kurt russell'],"['Action', 'Comedy', 'Family']",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
we bought a zoo,0.5535714285714287,0.8703703703703703,PG,cameron crowe,Matt Damon,0.2878228782287823,matt damon,['matt damon'],['matt damon'],"['Comedy', 'Drama', 'Family']",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
treasure planet,0.5892857142857144,0.787037037037037,PG,ron clements,Joseph Gordon-Levitt,0.18081180811808117,joseph gordon-levitt,['joseph gordon-levitt'],['joseph gordon-levitt'],"['Animation', 'Adventure', 'Family']",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
enchanted,0.5714285714285715,0.8333333333333334,PG,kevin lima,Amy Adams,0.22509225092250923,amy adams,['amy adams'],['amy adams'],"['Animation', 'Adventure', 'Comedy']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cars ,0.5000000000000001,0.9259259259259259,G,brian fee,Owen Wilson,0.2066420664206642,owen wilson,['owen wilson'],['owen wilson'],"['Animation', 'Adventure', 'Comedy']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matilda: the musical,0.5535714285714287,0.9722222222222222,PG,matthew warchus,Alisha Weir,0.26199261992619927,alisha weir,['alisha weir'],['alisha weir'],"['Comedy', 'Drama', 'Family']",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
father of the bride,0.4821428571428572,0.6851851851851851,PG,charles shyer,Steve Martin,0.21771217712177124,steve martin,['steve martin'],['steve martin'],"['Comedy', 'Family', 'Romance']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
pokémon: detective pikachu,0.4642857142857144,0.9444444444444444,PG,rob letterman,Ryan Reynolds,0.21402214022140223,ryan reynolds,['ryan reynolds'],['ryan reynolds'],"['Action', 'Adventure', 'Comedy']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fantastic beasts: the crimes of grindelwald,0.4642857142857144,0.9351851851851851,PG-13,david yates,Eddie Redmayne,0.32472324723247237,eddie redmayne,['eddie redmayne'],['eddie redmayne'],"['Adventure', 'Family', 'Fantasy']",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
big fat liar,0.2857142857142858,0.787037037037037,PG,shawn levy,Frankie Muniz,0.15498154981549817,frankie muniz,['frankie muniz'],['frankie muniz'],"['Adventure', 'Comedy', 'Family']",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
moonrise kingdom,0.6964285714285715,0.8796296296296297,PG-13,wes anderson,Jared Gilman,0.1771217712177122,jared gilman,['jared gilman'],['jared gilman'],"['Adventure', 'Comedy', 'Drama']",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hocus pocus,0.5357142857142859,0.7037037037037037,PG,kenny ortega,Bette Midler,0.18450184501845018,bette midler,['bette midler'],['bette midler'],"['Comedy', 'Family', 'Fantasy']",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
